section	category	title	artist	members	tj	ky	release_date	note	sort_order
group	original	별을 쫓던 빛에게	스텔라이브	아야츠노 유니, 사키하네 후야, 시라유키 히나, 네네코 마시로, 아카네 리제, 아라하시 타비, 텐코 시부키, 아오쿠모 린, 하나코 나나, 유즈하 리코	52350		2026-05-08	1st EP	0
group	original	STAR TRAIL (스타트레일)	스텔라이브	아야츠노 유니, 시라유키 히나, 네네코 마시로, 아카네 리제, 아라하시 타비, 텐코 시부키, 아오쿠모 린, 하나코 나나, 유즈하 리코			2026-05-08	1st EP	1
group	original	히로인이 되고싶어	스텔라이브	아야츠노 유니, 시라유키 히나, 네네코 마시로, 아카네 리제, 아라하시 타비, 텐코 시부키, 아오쿠모 린, 하나코 나나, 유즈하 리코			2026-05-08	1st EP	2
group	original	Milky Way	스텔라이브	아이리 칸나, 아야츠노 유니, 시라유키 히나, 네네코 마시로, 아카네 리제, 아라하시 타비	86060	82704	2024-02-21	1st Single	3
group	original	Starry Way	스텔라이브	아이리 칸나, 아야츠노 유니, 시라유키 히나, 네네코 마시로, 아카네 리제, 아라하시 타비	86334		2024-02-21	1st Single	4
group	cover	SEKAI (セカイ)	스텔라이브	아야츠노 유니, 사키하네 후야, 시라유키 히나, 네네코 마시로, 아카네 리제, 아라하시 타비, 텐코 시부키, 아오쿠모 린, 하나코 나나, 유즈하 리코			2026-02-01		5
group	cover	Tell Your World	스텔라이브	아야츠노 유니, 시라유키 히나, 네네코 마시로, 아카네 리제, 아라하시 타비, 텐코 시부키, 아오쿠모 린, 하나코 나나, 유즈하 리코	27758	43477	2025-05-05		6
unit	original	마음악보	UNIVERSE(시라유키 히나, 네네코 마시로, 아카네 리제, 아라하시 타비)	시라유키 히나, 네네코 마시로, 아카네 리제, 아라하시 타비	70321				7
unit	original	유성우	CLICHÉ(텐코 시부키, 아오쿠모 린, 하나코 나나, 유즈하 리코)	텐코 시부키, 아오쿠모 린, 하나코 나나, 유즈하 리코	52339	52398			8
unit	original	Our Tales	CLICHÉ(텐코 시부키, 아오쿠모 린, 하나코 나나, 유즈하 리코)	텐코 시부키, 아오쿠모 린, 하나코 나나, 유즈하 리코	43527				9
unit	original	Stars Align	UNIVERSE(시라유키 히나, 네네코 마시로, 아카네 리제, 아라하시 타비)	시라유키 히나, 네네코 마시로, 아카네 리제, 아라하시 타비					10
unit	original	Dear my fairy	시라유키 히나, 네네코 마시로	시라유키 히나, 네네코 마시로	44461				11
unit	original	Hit On Shot	아이리 칸나, 아카네 리제	아이리 칸나, 아카네 리제	77929	75007			12
unit	cover	악마가 아닌걸 (デビルじゃないもん)	유즈하 리코, 네네코 마시로	네네코 마시로, 유즈하 리코					13
unit	cover	ray	시라유키 히나, 아카네 리제	시라유키 히나, 아카네 리제	28109	43725			14
unit	cover	메이드지상주의 (メイド☆至上主義)	네네코 마시로, 아오쿠모 린	네네코 마시로, 아오쿠모 린					15
unit	cover	chocolate box	아오쿠모 린, 아야츠노 유니	아야츠노 유니, 아오쿠모 린					16
unit	cover	Joker	하나코 나나, 시라유키 히나	시라유키 히나, 하나코 나나	76468	22880			17
unit	cover	팝핀 캔디☆피버! (ポッピンキャンディ☆フィーバー !)	EVERYS(아야츠노 유니, 사키하네 후야)	아야츠노 유니, 사키하네 후야					18
